ok  	github.com/JohnnyPBelo/relayloom/native/core	7.327s
ok  	github.com/JohnnyPBelo/relayloom/native/transport	12.294s
ok  	github.com/JohnnyPBelo/relayloom/native/webpeer	2.026s
ok  	github.com/JohnnyPBelo/relayloom/native/app	384.325s
ok  	github.com/JohnnyPBelo/relayloom/native/sites	10.997s
ok  	github.com/JohnnyPBelo/relayloom/native/groups	3.554s
ok  	github.com/JohnnyPBelo/relayloom/native/groupstore	1.450s
ok  	github.com/JohnnyPBelo/relayloom/native/groupauthority	138.910s
ok  	github.com/JohnnyPBelo/relayloom/native/groupaccess	1.184s
ok  	github.com/JohnnyPBelo/relayloom/native/groupcontrol	6.634s
ok  	github.com/JohnnyPBelo/relayloom/native/groupnotice	19.523s
ok  	github.com/JohnnyPBelo/relayloom/native/groupledger	1.598s
ok  	github.com/JohnnyPBelo/relayloom/native/profilelock	(cached)
ok  	github.com/JohnnyPBelo/relayloom/native/profilestate	4.584s
ok  	github.com/JohnnyPBelo/relayloom/native/profilebinding	1.066s
ok  	github.com/JohnnyPBelo/relayloom/native/profiledb	1.725s
ok  	github.com/JohnnyPBelo/relayloom/native/sqlitedriver	(cached)
