ok  	github.com/JohnnyPBelo/relayloom/native/core	7.341s
ok  	github.com/JohnnyPBelo/relayloom/native/transport	12.432s
ok  	github.com/JohnnyPBelo/relayloom/native/webpeer	2.025s
ok  	github.com/JohnnyPBelo/relayloom/native/app	416.988s
ok  	github.com/JohnnyPBelo/relayloom/native/groups	3.823s
ok  	github.com/JohnnyPBelo/relayloom/native/groupstore	1.469s
ok  	github.com/JohnnyPBelo/relayloom/native/groupauthority	165.696s
ok  	github.com/JohnnyPBelo/relayloom/native/groupaccess	1.183s
ok  	github.com/JohnnyPBelo/relayloom/native/groupcontrol	6.874s
ok  	github.com/JohnnyPBelo/relayloom/native/groupnotice	22.316s
ok  	github.com/JohnnyPBelo/relayloom/native/groupledger	1.598s
ok  	github.com/JohnnyPBelo/relayloom/native/profilelock	1.055s
ok  	github.com/JohnnyPBelo/relayloom/native/profilestate	7.580s
ok  	github.com/JohnnyPBelo/relayloom/native/profilebinding	1.063s
ok  	github.com/JohnnyPBelo/relayloom/native/profiledb	1.544s
ok  	github.com/JohnnyPBelo/relayloom/native/sqlitedriver	1.021s
