ok  	github.com/JohnnyPBelo/relayloom/native/core	7.723s
ok  	github.com/JohnnyPBelo/relayloom/native/transport	12.631s
ok  	github.com/JohnnyPBelo/relayloom/native/webpeer	2.027s
ok  	github.com/JohnnyPBelo/relayloom/native/app	488.176s
ok  	github.com/JohnnyPBelo/relayloom/native/sites	13.881s
ok  	github.com/JohnnyPBelo/relayloom/native/groups	3.888s
ok  	github.com/JohnnyPBelo/relayloom/native/groupstore	1.468s
ok  	github.com/JohnnyPBelo/relayloom/native/groupauthority	170.776s
ok  	github.com/JohnnyPBelo/relayloom/native/groupaccess	1.217s
ok  	github.com/JohnnyPBelo/relayloom/native/groupcontrol	7.217s
ok  	github.com/JohnnyPBelo/relayloom/native/groupnotice	25.523s
ok  	github.com/JohnnyPBelo/relayloom/native/groupledger	1.641s
ok  	github.com/JohnnyPBelo/relayloom/native/profilelock	1.070s
ok  	github.com/JohnnyPBelo/relayloom/native/profilestate	7.950s
ok  	github.com/JohnnyPBelo/relayloom/native/profilebinding	1.065s
ok  	github.com/JohnnyPBelo/relayloom/native/profiledb	1.559s
ok  	github.com/JohnnyPBelo/relayloom/native/sqlitedriver	1.024s
