ok  	github.com/JohnnyPBelo/relayloom/native/core	7.419s
ok  	github.com/JohnnyPBelo/relayloom/native/transport	12.698s
ok  	github.com/JohnnyPBelo/relayloom/native/webpeer	2.024s
ok  	github.com/JohnnyPBelo/relayloom/native/app	468.735s
ok  	github.com/JohnnyPBelo/relayloom/native/sites	13.289s
ok  	github.com/JohnnyPBelo/relayloom/native/groups	3.850s
ok  	github.com/JohnnyPBelo/relayloom/native/groupstore	1.459s
ok  	github.com/JohnnyPBelo/relayloom/native/groupauthority	163.139s
ok  	github.com/JohnnyPBelo/relayloom/native/groupaccess	1.187s
ok  	github.com/JohnnyPBelo/relayloom/native/groupcontrol	6.858s
ok  	github.com/JohnnyPBelo/relayloom/native/groupnotice	22.237s
ok  	github.com/JohnnyPBelo/relayloom/native/groupledger	1.581s
ok  	github.com/JohnnyPBelo/relayloom/native/profilelock	1.060s
ok  	github.com/JohnnyPBelo/relayloom/native/profilestate	7.585s
ok  	github.com/JohnnyPBelo/relayloom/native/profilebinding	1.058s
ok  	github.com/JohnnyPBelo/relayloom/native/profiledb	1.554s
ok  	github.com/JohnnyPBelo/relayloom/native/sqlitedriver	1.023s
