ok  	github.com/JohnnyPBelo/relayloom/native/core	7.854s
ok  	github.com/JohnnyPBelo/relayloom/native/transport	12.190s
ok  	github.com/JohnnyPBelo/relayloom/native/webpeer	2.025s
ok  	github.com/JohnnyPBelo/relayloom/native/app	531.212s
ok  	github.com/JohnnyPBelo/relayloom/native/sites	14.155s
ok  	github.com/JohnnyPBelo/relayloom/native/groups	3.956s
ok  	github.com/JohnnyPBelo/relayloom/native/groupstore	1.744s
ok  	github.com/JohnnyPBelo/relayloom/native/groupauthority	177.822s
ok  	github.com/JohnnyPBelo/relayloom/native/groupaccess	1.275s
ok  	github.com/JohnnyPBelo/relayloom/native/groupcontrol	8.660s
ok  	github.com/JohnnyPBelo/relayloom/native/groupnotice	24.318s
ok  	github.com/JohnnyPBelo/relayloom/native/groupledger	1.651s
ok  	github.com/JohnnyPBelo/relayloom/native/profilelock	1.082s
ok  	github.com/JohnnyPBelo/relayloom/native/profilestate	7.767s
ok  	github.com/JohnnyPBelo/relayloom/native/profilebinding	1.070s
ok  	github.com/JohnnyPBelo/relayloom/native/profiledb	1.755s
ok  	github.com/JohnnyPBelo/relayloom/native/sqlitedriver	1.030s
